LIFE360 INC.,360,Software & Services
1414 DEGREES LIMITED,14D,Capital Goods
ADALTA LIMITED,1AD,Pharmaceuticals Biotechnology & Life Sciences
1ST GROUP LIMITED,1ST,Health Care Equipment & Services
TUBI LIMITED,2BE,Energy
AMAERO INTERNATIONAL LTD,3DA,Capital Goods
POINTERRA LIMITED,3DP,Software & Services
3P LEARNING LIMITED..,3PL,Consumer Services
4DS MEMORY LIMITED,4DS,Semiconductors & Semiconductor Equipment
4DMEDICAL LIMITED,4DX,Health Care Equipment & Services
5G NETWORKS LIMITED,5GN,Telecommunication Services
88 ENERGY LIMITED,88E,Energy
8COMMON LIMITED,8CO,Software & Services
8I HOLDINGS LTD,8IH,Diversified Financials
8VI HOLDINGS LIMITED,8VI,Consumer Services
9 SPOKES INTERNATIONAL LIMITED,9SP,Software & Services
AFRICAN GOLD LTD.,A1G,Materials
AIC MINES LIMITED,A1M,Materials
A2B AUSTRALIA LIMITED,A2B,Transportation
THE A2 MILK COMPANY LIMITED,A2M,Food Beverage & Tobacco
AURORA LABS LIMITED,A3D,Capital Goods
ALPHA HPA LIMITED,A4N,Materials
AUSTRALIAN AGRICULTURAL COMPANY LIMITED.,AAC,Food Beverage & Tobacco
ARUMA RESOURCES LIMITED,AAJ,Materials
ANGLO AUSTRALIAN RESOURCES NL,AAR,Materials
AUSWIDE BANK LTD,ABA,Banks
AUSSIE BROADBAND LIMITED,ABB,Class Pend
ADBRI LIMITED,ABC,Materials
ABACUS PROPERTY GROUP,ABP,Real Estate
AMERICAN PACIFIC BORATES LIMITED,ABR,Materials
ADORE BEAUTY GROUP LIMITED,ABY,Class Pend
AUSCANN GROUP HOLDINGS LTD,AC8,Pharmaceuticals Biotechnology & Life Sciences
ACROW FORMWORK AND CONSTRUCTION SERVICES LIMITED,ACF,Capital Goods
ACORN CAPITAL INVESTMENT FUND LIMITED,ACQ,Not Applic
ACRUX LIMITED,ACR,Pharmaceuticals Biotechnology & Life Sciences
ACUMENTIS GROUP LIMITED,ACU,Real Estate
ACTINOGEN MEDICAL LIMITED,ACW,Pharmaceuticals Biotechnology & Life Sciences
AD1 HOLDINGS LIMITED,AD1,Media & Entertainment
AUDINATE GROUP LIMITED,AD8,Technology Hardware & Equipment
ADACEL TECHNOLOGIES LIMITED,ADA,Software & Services
ADAVALE RESOURCES LIMITED,ADD,Energy
ADAIRS LIMITED,ADH,Retailing
APN INDUSTRIA REIT,ADI,Real Estate
ANDROMEDA METALS LIMITED,ADN,Materials
ANTEOTECH LTD,ADO,Pharmaceuticals Biotechnology & Life Sciences
ADHERIUM LIMITED,ADR,Health Care Equipment & Services
ADRIATIC METALS PLC,ADT,Materials
AUSTRALIAN ETHICAL INVESTMENT LIMITED,AEF,Diversified Financials
ABSOLUTE EQUITY PERFORMANCE FUND LIMITED,AEG,Not Applic
AERIS ENVIRONMENTAL LTD,AEI,Commercial & Professional Services
AEERIS LTD,AER,Media & Entertainment
AUSTRALIAN FINANCE GROUP LTD,AFG,Banks
AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,AFI,Not Applic
AF LEGAL GROUP LTD,AFL,Commercial & Professional Services
AFT PHARMACEUTICALS LIMITED,AFP,Pharmaceuticals Biotechnology & Life Sciences
AFRICAN ENERGY RESOURCES LIMITED,AFR,Energy
ANGLOGOLD ASHANTI LIMITED,AGG,Materials
ALTHEA GROUP HOLDINGS LIMITED,AGH,Pharmaceuticals Biotechnology & Life Sciences
AINSWORTH GAME TECHNOLOGY LIMITED,AGI,Consumer Services
AGL ENERGY LIMITED.,AGL,Utilities
AGUIA RESOURCES LIMITED,AGR,Materials
ARGOSY MINERALS LIMITED,AGY,Materials
AUSTRALIAN DAIRY NUTRITIONALS GROUP,AHF,Food Beverage & Tobacco
AHALIFE HOLDINGS LIMITED,AHL,Retailing
ALLEGIANCE COAL LIMITED,AHQ,Materials
ASALEO CARE LIMITED,AHY,Household & Personal Products
AUCKLAND INTERNATIONAL AIRPORT LIMITED,AIA,Transportation
ACCESS INNOVATION HOLDINGS LIMITED,AIM,Commercial & Professional Services
AERIS RESOURCES LIMITED,AIS,Materials
AIR NEW ZEALAND LIMITED,AIZ,Transportation
AJ LUCAS GROUP LIMITED,AJL,Capital Goods
ARMOUR ENERGY LIMITED,AJQ,Energy
ALEXIUM INTERNATIONAL GROUP LIMITED,AJX,Materials
ASPIRE MINING LIMITED,AKM,Materials
AUDIO PIXELS HOLDINGS LIMITED,AKP,Consumer Durables & Apparel
AML3D LIMITED,AL3,Capital Goods
ALDERAN RESOURCES LIMITED,AL8,Materials
ALCIDION GROUP LIMITED,ALC,Health Care Equipment & Services
AMPOL LIMITED,ALD,Energy
AUSTRALIAN LEADERS FUND LIMITED,ALF,Not Applic
ARDENT LEISURE GROUP LIMITED,ALG,Consumer Services
ALKANE RESOURCES LIMITED,ALK,Materials
ARISTOCRAT LEISURE LIMITED,ALL,Consumer Services
ALS LIMITED,ALQ,Commercial & Professional Services
ALTIUM LIMITED,ALU,Software & Services
ATLAS ARTERIA,ALX,Transportation
ALCHEMY RESOURCES LIMITED,ALY,Materials
AMCOR PLC,AMC,Materials
ARROW MINERALS LTD,AMD,Materials
ALTO METALS LIMITED,AME,Materials
AUSMEX MINING GROUP LIMITED,AMG,Materials
AMCIL LIMITED,AMH,Not Applic
AURELIA METALS LIMITED,AMI,Materials
AEON METALS LIMITED.,AML,Materials
AGRIMIN LIMITED,AMN,Materials
AMBERTECH LIMITED,AMO,Technology Hardware & Equipment
AMP LIMITED,AMP,Diversified Financials
ATOMOS LIMITED,AMS,Consumer Durables & Apparel
AEROMETREX LIMITED,AMX,Commercial & Professional Services
ANSELL LIMITED,ANN,Health Care Equipment & Services
ADVANCE NANOTEK LIMITED,ANO,Materials
ANTISENSE THERAPEUTICS LIMITED,ANP,Pharmaceuticals Biotechnology & Life Sciences
ANATARA LIFESCIENCES LTD,ANR,Pharmaceuticals Biotechnology & Life Sciences
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,ANZ,Banks
AUSTRALIAN UNITY OFFICE FUND,AOF,Real Estate
APOLLO MINERALS LIMITED,AON,Materials
APOLLO CONSOLIDATED LIMITED,AOP,Materials
APA GROUP,APA,Utilities
APN PROPERTY GROUP,APD,Real Estate
EAGERS AUTOMOTIVE LIMITED,APE,Retailing
AUSTRALIAN PRIMARY HEMP LIMITED,APH,Food Beverage & Tobacco
